storage,scenario,timepoint,SOC_MWh
cats_48,climate_1,2035-01-01T02:00:00.000000-0800,-4.3764795100781487e-17
cats_49,climate_1,2035-01-01T02:00:00.000000-0800,30.0
cats_50,climate_1,2035-01-01T02:00:00.000000-0800,1.170974345184603e-16
cats_51,climate_1,2035-01-01T02:00:00.000000-0800,-4.0874236614246305e-17
cats_52,climate_1,2035-01-01T02:00:00.000000-0800,40.0
cats_53,climate_1,2035-01-01T02:00:00.000000-0800,40.0
cats_54,climate_1,2035-01-01T02:00:00.000000-0800,7.481937314303801e-17
cats_55,climate_1,2035-01-01T02:00:00.000000-0800,2.4031277625670162e-17
cats_56,climate_1,2035-01-01T02:00:00.000000-0800,5.184
cats_57,climate_1,2035-01-01T02:00:00.000000-0800,0.0
cats_58,climate_1,2035-01-01T02:00:00.000000-0800,0.0
cats_59,climate_1,2035-01-01T02:00:00.000000-0800,8.0
cats_60,climate_1,2035-01-01T02:00:00.000000-0800,182.60869565217396
cats_61,climate_1,2035-01-01T02:00:00.000000-0800,1.3084056261650705e-15
cats_62,climate_1,2035-01-01T02:00:00.000000-0800,-8.912841983501311e-17
cats_63,climate_1,2035-01-01T02:00:00.000000-0800,0.0
cats_64,climate_1,2035-01-01T02:00:00.000000-0800,3.2200000000000006
cats_65,climate_1,2035-01-01T02:00:00.000000-0800,5.58
cats_66,climate_1,2035-01-01T02:00:00.000000-0800,-7.171155632000278e-17
cats_67,climate_1,2035-01-01T02:00:00.000000-0800,0.0
cats_68,climate_1,2035-01-01T02:00:00.000000-0800,16.764
cats_69,climate_1,2035-01-01T02:00:00.000000-0800,0.15999999999999995
cats_70,climate_1,2035-01-01T02:00:00.000000-0800,6.617444900424222e-24
cats_71,climate_1,2035-01-01T02:00:00.000000-0800,0.9
cats_72,climate_1,2035-01-01T02:00:00.000000-0800,-2.845121730542927e-14
cats_73,climate_1,2035-01-01T02:00:00.000000-0800,1.0
cats_74,climate_1,2035-01-01T02:00:00.000000-0800,3.7
cats_75,climate_1,2035-01-01T02:00:00.000000-0800,36.0
