generator,timepoint,DispatchGen_MW
cats_292,2035-01-01T00:00:00.000000-0800,0.0
cats_293,2035-01-01T00:00:00.000000-0800,0.0
cats_294,2035-01-01T00:00:00.000000-0800,0.0
cats_295,2035-01-01T00:00:00.000000-0800,0.0
cats_296,2035-01-01T00:00:00.000000-0800,0.0
cats_297,2035-01-01T00:00:00.000000-0800,0.0
cats_298,2035-01-01T00:00:00.000000-0800,0.0
cats_299,2035-01-01T00:00:00.000000-0800,0.0
cats_300,2035-01-01T00:00:00.000000-0800,173.0
cats_301,2035-01-01T00:00:00.000000-0800,173.0
cats_302,2035-01-01T00:00:00.000000-0800,173.0
cats_303,2035-01-01T00:00:00.000000-0800,333.0
cats_304,2035-01-01T00:00:00.000000-0800,0.0
cats_305,2035-01-01T00:00:00.000000-0800,0.0
cats_306,2035-01-01T00:00:00.000000-0800,0.0
cats_307,2035-01-01T00:00:00.000000-0800,0.0
cats_308,2035-01-01T00:00:00.000000-0800,0.0
cats_309,2035-01-01T00:00:00.000000-0800,0.0
cats_310,2035-01-01T00:00:00.000000-0800,0.0
cats_311,2035-01-01T00:00:00.000000-0800,0.0
cats_312,2035-01-01T00:00:00.000000-0800,0.0
cats_313,2035-01-01T00:00:00.000000-0800,0.0
cats_314,2035-01-01T00:00:00.000000-0800,168.0
cats_315,2035-01-01T00:00:00.000000-0800,168.0
cats_316,2035-01-01T00:00:00.000000-0800,168.0
cats_317,2035-01-01T00:00:00.000000-0800,185.0
cats_318,2035-01-01T00:00:00.000000-0800,90.0
cats_319,2035-01-01T00:00:00.000000-0800,0.0
cats_320,2035-01-01T00:00:00.000000-0800,0.0
cats_321,2035-01-01T00:00:00.000000-0800,0.0
cats_322,2035-01-01T00:00:00.000000-0800,0.0
cats_323,2035-01-01T00:00:00.000000-0800,0.0
cats_324,2035-01-01T00:00:00.000000-0800,0.0
cats_325,2035-01-01T00:00:00.000000-0800,0.0
cats_326,2035-01-01T00:00:00.000000-0800,0.0
cats_327,2035-01-01T00:00:00.000000-0800,0.0
cats_328,2035-01-01T00:00:00.000000-0800,0.0
cats_329,2035-01-01T00:00:00.000000-0800,0.0
cats_330,2035-01-01T00:00:00.000000-0800,0.0
cats_331,2035-01-01T00:00:00.000000-0800,0.0
cats_332,2035-01-01T00:00:00.000000-0800,0.0
cats_333,2035-01-01T00:00:00.000000-0800,0.0
cats_334,2035-01-01T00:00:00.000000-0800,0.0
cats_335,2035-01-01T00:00:00.000000-0800,0.0
cats_336,2035-01-01T00:00:00.000000-0800,0.0
cats_337,2035-01-01T00:00:00.000000-0800,0.0
cats_338,2035-01-01T00:00:00.000000-0800,0.0
cats_339,2035-01-01T00:00:00.000000-0800,0.0
cats_340,2035-01-01T00:00:00.000000-0800,0.0
cats_341,2035-01-01T00:00:00.000000-0800,0.0
cats_342,2035-01-01T00:00:00.000000-0800,0.0
cats_343,2035-01-01T00:00:00.000000-0800,0.0
cats_344,2035-01-01T00:00:00.000000-0800,0.0
cats_345,2035-01-01T00:00:00.000000-0800,0.0
cats_346,2035-01-01T00:00:00.000000-0800,0.0
cats_347,2035-01-01T00:00:00.000000-0800,0.0
cats_348,2035-01-01T00:00:00.000000-0800,0.0
cats_349,2035-01-01T00:00:00.000000-0800,0.0
cats_350,2035-01-01T00:00:00.000000-0800,0.0
cats_351,2035-01-01T00:00:00.000000-0800,31.84664714455693
cats_352,2035-01-01T00:00:00.000000-0800,0.0
cats_353,2035-01-01T00:00:00.000000-0800,165.0
cats_354,2035-01-01T00:00:00.000000-0800,165.0
cats_355,2035-01-01T00:00:00.000000-0800,229.0
cats_356,2035-01-01T00:00:00.000000-0800,0.0
cats_357,2035-01-01T00:00:00.000000-0800,0.0
cats_358,2035-01-01T00:00:00.000000-0800,0.0
cats_359,2035-01-01T00:00:00.000000-0800,0.0
cats_360,2035-01-01T00:00:00.000000-0800,0.0
cats_361,2035-01-01T00:00:00.000000-0800,0.0
cats_362,2035-01-01T00:00:00.000000-0800,0.0
cats_363,2035-01-01T00:00:00.000000-0800,198.9
cats_364,2035-01-01T00:00:00.000000-0800,154.5147678552464
cats_365,2035-01-01T00:00:00.000000-0800,0.0
cats_366,2035-01-01T00:00:00.000000-0800,0.0
cats_367,2035-01-01T00:00:00.000000-0800,0.0
cats_368,2035-01-01T00:00:00.000000-0800,0.0
cats_369,2035-01-01T00:00:00.000000-0800,0.0
cats_370,2035-01-01T00:00:00.000000-0800,0.0
cats_371,2035-01-01T00:00:00.000000-0800,0.0
cats_372,2035-01-01T00:00:00.000000-0800,0.0
cats_373,2035-01-01T00:00:00.000000-0800,0.0
cats_374,2035-01-01T00:00:00.000000-0800,0.0
cats_375,2035-01-01T00:00:00.000000-0800,0.0
cats_376,2035-01-01T00:00:00.000000-0800,0.0
cats_377,2035-01-01T00:00:00.000000-0800,0.0
cats_378,2035-01-01T00:00:00.000000-0800,0.0
cats_379,2035-01-01T00:00:00.000000-0800,0.0
cats_380,2035-01-01T00:00:00.000000-0800,0.0
cats_381,2035-01-01T00:00:00.000000-0800,0.0
cats_382,2035-01-01T00:00:00.000000-0800,0.0
cats_383,2035-01-01T00:00:00.000000-0800,0.0
cats_384,2035-01-01T00:00:00.000000-0800,0.0
cats_385,2035-01-01T00:00:00.000000-0800,0.0
cats_386,2035-01-01T00:00:00.000000-0800,0.0
cats_387,2035-01-01T00:00:00.000000-0800,0.0
cats_388,2035-01-01T00:00:00.000000-0800,0.0
cats_389,2035-01-01T00:00:00.000000-0800,0.0
cats_390,2035-01-01T00:00:00.000000-0800,0.0
cats_391,2035-01-01T00:00:00.000000-0800,0.0
cats_392,2035-01-01T00:00:00.000000-0800,0.0
cats_393,2035-01-01T00:00:00.000000-0800,0.0
cats_394,2035-01-01T00:00:00.000000-0800,0.0
cats_395,2035-01-01T00:00:00.000000-0800,0.0
cats_396,2035-01-01T00:00:00.000000-0800,0.0
cats_397,2035-01-01T00:00:00.000000-0800,0.0
cats_398,2035-01-01T00:00:00.000000-0800,0.0
cats_399,2035-01-01T00:00:00.000000-0800,0.0
cats_400,2035-01-01T00:00:00.000000-0800,0.0
cats_401,2035-01-01T00:00:00.000000-0800,0.0
cats_402,2035-01-01T00:00:00.000000-0800,0.0
cats_403,2035-01-01T00:00:00.000000-0800,0.0
cats_404,2035-01-01T00:00:00.000000-0800,0.0
cats_405,2035-01-01T00:00:00.000000-0800,0.0
cats_406,2035-01-01T00:00:00.000000-0800,0.0
cats_407,2035-01-01T00:00:00.000000-0800,0.0
cats_408,2035-01-01T00:00:00.000000-0800,0.0
cats_409,2035-01-01T00:00:00.000000-0800,0.0
cats_410,2035-01-01T00:00:00.000000-0800,0.0
cats_411,2035-01-01T00:00:00.000000-0800,0.0
cats_412,2035-01-01T00:00:00.000000-0800,0.0
cats_413,2035-01-01T00:00:00.000000-0800,0.0
cats_414,2035-01-01T00:00:00.000000-0800,0.0
cats_415,2035-01-01T00:00:00.000000-0800,0.0
cats_416,2035-01-01T00:00:00.000000-0800,0.0
cats_417,2035-01-01T00:00:00.000000-0800,0.0
cats_418,2035-01-01T00:00:00.000000-0800,0.0
cats_419,2035-01-01T00:00:00.000000-0800,0.0
cats_420,2035-01-01T00:00:00.000000-0800,0.0
cats_421,2035-01-01T00:00:00.000000-0800,0.0
cats_422,2035-01-01T00:00:00.000000-0800,0.0
cats_423,2035-01-01T00:00:00.000000-0800,0.0
cats_424,2035-01-01T00:00:00.000000-0800,0.0
cats_425,2035-01-01T00:00:00.000000-0800,0.0
cats_426,2035-01-01T00:00:00.000000-0800,0.0
cats_427,2035-01-01T00:00:00.000000-0800,0.0
cats_428,2035-01-01T00:00:00.000000-0800,0.0
cats_429,2035-01-01T00:00:00.000000-0800,0.0
cats_430,2035-01-01T00:00:00.000000-0800,0.0
cats_431,2035-01-01T00:00:00.000000-0800,0.0
cats_432,2035-01-01T00:00:00.000000-0800,41.0
cats_433,2035-01-01T00:00:00.000000-0800,8.0
