gen_name,sc_name,tp_name,capacity_factor
1223,sc1,1,1
1224,sc1,1,1
1225,sc1,1,1
1226,sc1,1,1
1227,sc1,1,1
1228,sc1,1,1
1229,sc1,1,1
1230,sc1,1,1
1231,sc1,1,1
1232,sc1,1,1
1233,sc1,1,1
1234,sc1,1,1
1235,sc1,1,1
1236,sc1,1,1
1237,sc1,1,1
1238,sc1,1,1
1239,sc1,1,1
1240,sc1,1,1
1241,sc1,1,1
1242,sc1,1,1
1243,sc1,1,1
1244,sc1,1,1
1245,sc1,1,1
1246,sc1,1,1
1247,sc1,1,1
1248,sc1,1,1
1249,sc1,1,1
1250,sc1,1,1
1251,sc1,1,1
1252,sc1,1,1
1253,sc1,1,1
1254,sc1,1,1
1255,sc1,1,1
1256,sc1,1,1
1257,sc1,1,1
1258,sc1,1,1
1259,sc1,1,1
1260,sc1,1,1
1261,sc1,1,1
1262,sc1,1,1
1263,sc1,1,1
1264,sc1,1,1
1265,sc1,1,1
1266,sc1,1,1
1267,sc1,1,1
1268,sc1,1,1
1269,sc1,1,1
1270,sc1,1,1
1271,sc1,1,1
1272,sc1,1,1
1273,sc1,1,1
1274,sc1,1,1
1275,sc1,1,1
1276,sc1,1,1
1277,sc1,1,1
1278,sc1,1,1
1279,sc1,1,1
1280,sc1,1,1
1281,sc1,1,1
1282,sc1,1,1
1283,sc1,1,1
1284,sc1,1,1
1285,sc1,1,1
1286,sc1,1,1
1287,sc1,1,1
1288,sc1,1,1
1289,sc1,1,1
1290,sc1,1,1
1291,sc1,1,1
1292,sc1,1,1
1293,sc1,1,1
1294,sc1,1,1
1295,sc1,1,1
1296,sc1,1,1
1297,sc1,1,1
1298,sc1,1,1
1299,sc1,1,1
1300,sc1,1,1
1301,sc1,1,1
1302,sc1,1,1
1303,sc1,1,1
1304,sc1,1,1
1305,sc1,1,1
1306,sc1,1,1
1307,sc1,1,1
1308,sc1,1,1
1309,sc1,1,1
1310,sc1,1,1
1311,sc1,1,1
1312,sc1,1,1
1313,sc1,1,1
1314,sc1,1,1
1315,sc1,1,1
1316,sc1,1,1
1317,sc1,1,1
1318,sc1,1,1
1319,sc1,1,1
1320,sc1,1,1
1321,sc1,1,1
1322,sc1,1,1
1323,sc1,1,1
1324,sc1,1,1
1325,sc1,1,1
1326,sc1,1,1
1327,sc1,1,1
1328,sc1,1,1
1329,sc1,1,1
1330,sc1,1,1
1331,sc1,1,1
1332,sc1,1,1
1333,sc1,1,1
1334,sc1,1,1
1335,sc1,1,1
1336,sc1,1,1
1337,sc1,1,1
1338,sc1,1,1
1339,sc1,1,1
1340,sc1,1,1
1341,sc1,1,1
1342,sc1,1,1
1343,sc1,1,1
1344,sc1,1,1
1345,sc1,1,1
1346,sc1,1,1
1347,sc1,1,1
1348,sc1,1,1
1349,sc1,1,1
1350,sc1,1,1
1351,sc1,1,1
1352,sc1,1,1
1353,sc1,1,1
